text,labels
Syria attack symptoms consistent with nerve agent use WHO,0
Homs governor says U.S. attack caused deaths but doesnt see big human losses,0
Death toll from Aleppo bomb attack at least 112,0
Aleppo bomb blast kills six Syrian state TV,0
29 Syria Rebels Dead in Fighting for Key Aleppo Road,0
Suicide bombing kills at least 16 in northeast Syria,0
22 dead in heavy U.S. raids on IS Syria stronghold,0
Suicide bomber kills 4 in Assad clans hometown,0
Explosion rocks down town Damascus,1
Damascus explosion due to rocket bomb,0
Syrian regime steps up aerial assault on Douma,1
Hizballah leads regime offensive in southern Syria,1
Syrian opposition remains divided,1
IS video shows murder of 2 Syrian activists,1
Syrias Nusra Front stages deadly suicide bombing in Aleppo,0
Regime troops thwart rebel attack in Syrias Aleppo,0
Ahrar al-Sham leader killed in Syria,1
Barrel bombs kill 11 in IS town in Syria,1
Rebels advance in north-western Syria,0
Israeli strike on Syrian town kills pro-regime fighters,0
Syria army plane crashes in rebel-held town,0
Syrian regime revenge attack kills scores in Qalamoun,0
Chemical Massacre in Idlib Defies the World,1
Bus Bombing Marks End to Tragic Evacuation Deal in Syria,1
Six Killed in Aleppo Bombing as Evacuation of 4 Syrian Towns Resumes ,1
58 Killed in Suspected Gas Attack in Syrias Idlib,1
MSF Syrian Regime Used Chemical Weapons in Hama,1
Toxic Gas Dropped on Syrian Town After Russian Helicopter is Shot Down,0
Syrian Opposition Sparks Aleppo Front to Relieve North Fractions,0
Dozens Killed in International Coalition Airstrikes on Manbij,1
Thirty Killed in Syrian Strikes on Damascan Suburb Town,0
Russians and the Syrian Regime Use Internationally Banned Bombs to Attack Aleppo,0
Syria Kurdish Islamist violence kills 12 Al-Qaeda-linked fighters,1
Syrian army advances near Aleppo,0
Monitor 10 of 48 people executed by forces loyal to regime were children,0
Suicide bomber kills 4 in Assad clans hometown,1
US-led airstrikes target ISIS stronghold Raqqa,1
Assad regime launches operation in Latakia region attacks Syrian Turkmen village,1
Assad regime kills 18 civilians in Aleppo Monitor,1
Russian airstrikes hit Syrian opposition forces,1
Syrian warplane crashes into market in northwest town of Ariha near Turkish border kills 35 and wounds dozens,1
Suicide bomb attack in Syrias Idlib mosque kills 25 senior Nusra Front leader,1
16 civilians killed in Syrias Hasakeh after motorbike bomber attack,1
2 medics among at least 31 dead in regime shelling of opposition-held Syrian town,0
Assad regime airstrike kills 16 civilians in Syrias Aleppo,1
Coalition airstrikes kill 85 civilians in Daesh-held villages in Syrias Manbij,1
Assad regime surrounds Aleppo opposition groups resist despite intense raids,1
US jets killed at least 15 civilians in Syria,1
Fatalities expected to increase in suicide blast in Syria,1
US-led air strikes in Syria kill dozens of civilians,1
Syrian opposition advances into key Aleppo district,0
Two Russian pilots killed in Syria as DAESH downs chopper,0
At least 15 dead as bomb hits refugee camp in Syrias Idlib,1
Gas attack hits rebel-held areas of Aleppo report,1
Syrian regime forces drops vacuum bomb on Idlib,0
Chemical attack in Idlib draws international condemnation,0
Regime air strikes kill 22 in Syrias rebel-held region,1
Air strikes kill at least 18 in northwestern Syria,0
Multiple Daesh suicide bombers attack refugee camp in Syria,1
Air strikes in Syria kill eight White Helmets activists,1
Air strikes hit hospital and kill 26 people in Idlib,1
Deadly bomb blast hits Syrias Aleppo,1
At least 100 killed after bomb hits bus convoy in Syria,0
Suicide bomber kills 16 in Syrias Hasakah,1
Bombs continue to fall on Syria despite regime truce,1
Syrian rebel fighters killed in IS suicide bomb attack,1
Scores of Syrian rebels killed over key Aleppo road,0
US-led coalition raids kill scores of civilians in Syria,0
Dozens killed in bombardment on rebel-held Aleppo,0
Seven children killed in Syrias rebel-held Aleppo,1
Syria Airstrikes destroy Idlib MSF hospital leaving 13 dead,0
Dozens killed by Russian air raids over IS-held Raqqa,1
Four killed in suspected gas attack on Aleppo,0
Three women killed while attending funeral in Syrias Madaya,0
Violence rages on in Syria as dozens more killed,1
More than 50 civilians killed in Syrias Aleppo,0
Syrian regime bombs Kurdish fighters for second day,1
Barrel bomb attack kills 11 children in Syrias Aleppo,1
Children killed in Syrias Homs by napalm mortar rounds,0
7 killed in regime strikes on besieged Homs neighbourhood,0
Dozens killed hospital damaged after strikes hit northwest Syria,0
Scores killed in gas attack in rebel-held Syria town,0
Syrian regime airstrikes kill 22 civilians near Damascus,0
Shelling of rebel bastion near Syrian capital kills 19,0
Syrian airbase struck by US missiles Whats the damage?,1
Strike on Syrias Idlib kills 18 including five children,1
Sarin nerve gas used in Syria British scientists,1
Syria rebels battle to break Aleppo siege,1
Syrian children killed in west Aleppo school attack,0
Idlib bombing deadliest school attack in Syrias war,0
Students among scores dead as raids hit Syria school,0
Two dead twenty injured in Syrian regime chlorine attack,0
Heavy Syrian regime bombing in Idlib kills civilians,1
Russia says Belgian strikes kill six in Aleppo region,1
24 hours of bombardment in Aleppo kills 45,0
Dozens killed in car bomb attack on Syrian rebels,1
Airstrikes continue to rain down on east Aleppo,1
Russia launches new crippling air raids on Aleppo,1
Eleven killed in Syrian-regime controlled area of Aleppo,1
Air raid kills 19 Syrians in IS-held village,1
Suicide attack on Syria wedding kills 32,0
Suicide attack on Kurdish wedding in Syria kills 22,1
Two killed in Qatar Red Crescent Syria clinic bombing,0
Syrian refugee camp hit with missiles and bombs,0
Aleppo Scores killed in airstrikes targetting UN aid convoy,1
First civilians killed in Aleppo since start of ceasefire,1
Syrian children killed in missile attack on school,1
Five dead in Syria airstrikes ahead of planned ceasefire,0
Syria Regime kills 25 civilians in Hama airstrikes,0
Hundreds dead as fresh airstrikes hit Syrias Aleppo,1
Deadly Aleppo convoy attack threatens aid distribution in Syria,1
Four medics killed in strike on clinic near Aleppo,1
Syrian Civil Defence US Russia regime attacked aid convoy,1
Syrian regime repels rebel offensive near Aleppo killing 40,1
Syrian regime offensive in northern Aleppo leaves 70 dead,1
